iter	Passed	Remaining
0	197	197117
1	199	99717
2	203	67657
3	207	51690
4	210	41896
5	213	35433
6	216	30766
7	219	27242
8	221	24431
9	231	22932
10	235	21173
11	241	19919
12	244	18535
13	250	17611
14	254	16695
15	256	15765
16	259	15007
17	262	14334
18	265	13718
19	268	13172
20	273	12741
21	276	12307
22	278	11844
23	281	11461
24	285	11150
25	288	10817
26	294	10628
27	297	10320
28	302	10125
29	310	10030
30	313	9813
31	317	9592
32	320	9378
33	323	9198
34	326	8997
35	330	8851
36	333	8678
37	335	8502
38	339	8358
39	342	8220
40	344	8063
41	348	7939
42	352	7839
43	356	7745
44	359	7635
45	363	7531
46	368	7464
47	376	7469
48	379	7369
49	382	7270
50	386	7187
51	390	7122
52	530	9480
53	533	9341
54	536	9218
55	539	9093
56	557	9222
57	590	9588
58	606	9666
59	616	9656
60	619	9531
61	626	9479
62	629	9364
63	632	9249
64	637	9173
65	641	9078
66	649	9049
67	651	8928
68	654	8831
69	664	8833
70	668	8746
71	675	8710
72	681	8649
73	683	8557
74	694	8563
75	697	8477
76	700	8401
77	716	8472
78	726	8474
79	731	8408
80	742	8419
81	744	8339
82	753	8323
83	759	8284
84	761	8200
85	764	8125
86	775	8133
87	777	8061
88	789	8078
89	793	8021
90	807	8061
91	818	8080
92	825	8050
93	829	7994
94	831	7925
95	881	8305
96	884	8234
97	888	8178
98	901	8200
99	904	8139
100	911	8109
101	920	8104
102	925	8057
103	933	8040
104	943	8042
105	946	7986
106	964	8051
107	968	7995
108	970	7933
109	981	7937
110	985	7892
111	988	7840
112	999	7844
113	1001	7786
114	1004	7733
115	1007	7678
116	1017	7678
117	1020	7630
118	1023	7580
119	1033	7581
120	1038	7545
121	1041	7498
122	1051	7494
123	1055	7455
124	1059	7415
125	1072	7440
126	1076	7399
127	1087	7406
128	1090	7362
129	1103	7382
130	1129	7494
131	1141	7508
132	1144	7459
133	1146	7411
134	1157	7417
135	1160	7375
136	1173	7389
137	1174	7338
138	1177	7294
139	1180	7253
140	1196	7289
141	1205	7285
142	1209	7247
143	1217	7236
144	1221	7203
145	1224	7162
146	1228	7126
147	1230	7083
148	1233	7042
149	1235	7001
150	1238	6961
151	1240	6923
152	1243	6886
153	1246	6850
154	1249	6809
155	1258	6808
156	1260	6768
157	1263	6734
158	1273	6738
159	1275	6698
160	1278	6663
161	1283	6641
162	1286	6607
163	1289	6571
164	1300	6581
165	1304	6554
166	1306	6517
167	1309	6485
168	1319	6488
169	1322	6457
170	1335	6475
171	1337	6440
172	1344	6424
173	1347	6394
174	1349	6361
175	1367	6402
176	1398	6501
177	1415	6537
178	1432	6568
179	1447	6591
180	1448	6554
181	1455	6540
182	1484	6627
183	1489	6605
184	1500	6610
185	1502	6577
186	1512	6575
187	1514	6542
188	1526	6550
189	1528	6518
190	1533	6497
191	1552	6532
192	1554	6500
193	1557	6471
194	1568	6476
195	1571	6447
196	1575	6422
197	1578	6393
198	1581	6366
199	1592	6369
200	1602	6368
201	1604	6338
202	1607	6311
203	1609	6281
204	1613	6256
205	1619	6241
206	1622	6214
207	1624	6186
208	1627	6157
209	1630	6134
210	1633	6106
211	1645	6115
212	1647	6087
213	1656	6083
214	1658	6056
215	1661	6032
216	1664	6005
217	1666	5979
218	1669	5952
219	1671	5927
220	1674	5903
221	1685	5907
222	1688	5883
223	1701	5894
224	1704	5870
225	1716	5877
226	1719	5855
227	1721	5830
228	1724	5804
229	1733	5803
230	1736	5779
231	1738	5754
232	1748	5756
233	1751	5733
234	1756	5717
235	1758	5693
236	1762	5674
237	1766	5654
238	1770	5636
239	1779	5633
240	1781	5609
241	1783	5587
242	1792	5584
243	1795	5563
244	1797	5540
245	1819	5576
246	1821	5553
247	1827	5542
248	1846	5567
249	1855	5565
250	1858	5544
251	1860	5521
252	1866	5510
253	1868	5488
254	1871	5468
255	1873	5445
256	1880	5437
257	1882	5415
258	1885	5394
259	1888	5374
260	1892	5358
261	1895	5339
262	1898	5319
263	1902	5305
264	1905	5283
265	1907	5263
266	1909	5242
267	1913	5226
268	1917	5210
269	1919	5189
270	1921	5170
271	1926	5155
272	1930	5140
273	1933	5123
274	1936	5106
275	1939	5087
276	1942	5069
277	1944	5049
278	1947	5033
279	1950	5014
280	1952	4997
281	1956	4980
282	1958	4962
283	1961	4944
284	1963	4925
285	1965	4906
286	1970	4894
287	1974	4882
288	1977	4866
289	1981	4850
290	1983	4833
291	1986	4816
292	1988	4797
293	1990	4780
294	1994	4767
295	1997	4751
296	1999	4733
297	2002	4717
298	2006	4703
299	2009	4689
300	2011	4671
301	2014	4656
302	2016	4638
303	2021	4627
304	2023	4610
305	2026	4594
306	2030	4582
307	2033	4569
308	2037	4556
309	2039	4539
310	2041	4522
311	2043	4506
312	2046	4490
313	2048	4476
314	2051	4462
315	2055	4448
316	2059	4436
317	2061	4420
318	2065	4409
319	2069	4397
320	2071	4382
321	2074	4367
322	2077	4353
323	2081	4342
324	2083	4327
325	2086	4313
326	2088	4299
327	2093	4289
328	2095	4274
329	2097	4259
330	2100	4244
331	2104	4235
332	2107	4220
333	2108	4205
334	2110	4189
335	2114	4178
336	2117	4166
337	2120	4152
338	2121	4137
339	2124	4123
340	2128	4112
341	2130	4099
342	2132	4084
343	2134	4069
344	2136	4056
345	2142	4049
346	2145	4037
347	2147	4023
348	2149	4009
349	2154	4000
350	2155	3986
351	2157	3972
352	2159	3958
353	2161	3944
354	2165	3934
355	2167	3921
356	2170	3909
357	2173	3897
358	2179	3890
359	2182	3879
360	2184	3866
361	2189	3859
362	2192	3846
363	2194	3833
364	2196	3821
365	2198	3808
366	2202	3798
367	2204	3786
368	2206	3773
369	2209	3762
370	2214	3754
371	2216	3741
372	2219	3730
373	2221	3717
374	2225	3708
375	2228	3697
376	2230	3685
377	2232	3673
378	2234	3661
379	2239	3654
380	2241	3642
381	2243	3630
382	2246	3618
383	2252	3612
384	2254	3601
385	2257	3590
386	2259	3579
387	2262	3568
388	2265	3557
389	2267	3546
390	2269	3534
391	2274	3527
392	2276	3516
393	2279	3505
394	2281	3494
395	2288	3490
396	2293	3482
397	2295	3472
398	2299	3462
399	2302	3453
400	2304	3442
401	2307	3433
402	2311	3424
403	2314	3415
404	2318	3405
405	2323	3398
406	2326	3389
407	2328	3378
408	2333	3372
409	2336	3361
410	2338	3350
411	2340	3340
412	2342	3329
413	2346	3322
414	2349	3311
415	2351	3301
416	2354	3291
417	2357	3282
418	2359	3272
419	2361	3261
420	2364	3252
421	2370	3246
422	2372	3236
423	2375	3226
424	2377	3216
425	2383	3211
426	2385	3200
427	2387	3191
428	2389	3180
429	2393	3172
430	2395	3162
431	2398	3153
432	2401	3144
433	2404	3135
434	2406	3125
435	2409	3116
436	2411	3106
437	2415	3099
438	2417	3089
439	2420	3080
440	2423	3071
441	2426	3062
442	2428	3053
443	2430	3043
444	2433	3034
445	2436	3027
446	2440	3019
447	2442	3009
448	2445	3001
449	2450	2995
450	2453	2986
451	2455	2977
452	2457	2967
453	2461	2960
454	2463	2951
455	2465	2941
456	2469	2934
457	2471	2925
458	2474	2916
459	2476	2907
460	2479	2898
461	2481	2890
462	2485	2883
463	2488	2874
464	2491	2866
465	2494	2858
466	2501	2855
467	2505	2848
468	2521	2854
469	2532	2855
470	2539	2852
471	2545	2847
472	2553	2845
473	2556	2836
474	2568	2838
475	2571	2830
476	2575	2823
477	2578	2816
478	2584	2810
479	2587	2803
480	2590	2794
481	2592	2786
482	2596	2779
483	2599	2771
484	2603	2764
485	2605	2756
486	2610	2749
487	2619	2748
488	2622	2740
489	2626	2734
490	2629	2726
491	2632	2718
492	2635	2710
493	2639	2703
494	2642	2695
495	2645	2688
496	2649	2681
497	2652	2673
498	2654	2665
499	2661	2661
500	2664	2654
501	2667	2646
502	2672	2640
503	2675	2632
504	2677	2624
505	2680	2617
506	2688	2614
507	2690	2605
508	2692	2597
509	2695	2590
510	2698	2582
511	2701	2574
512	2703	2566
513	2706	2559
514	2710	2552
515	2713	2545
516	2715	2537
517	2718	2529
518	2726	2527
519	2730	2520
520	2732	2512
521	2737	2506
522	2740	2499
523	2743	2492
524	2746	2484
525	2749	2478
526	2751	2469
